ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
Dell Inspiron 6880,48.4472118,73.77026019,59.97136421,14.8071426,15.50270773,3507,Disk Failure
Dell ZenBook 2266,54.72524086,25.22181937,39.16510643,15.72781385,4.421021901,1037,No Problem
Dell Galaxy 5903,26.69331874,49.90062815,93.05267032,17.43733753,25.18006412,3244,Disk Failure
Dell ZenBook 8084,65.59165156,29.60386642,92.5801894,10.64521618,57.71353844,3731,No Problem
Dell Inspiron 8884,24.39521564,25.79275431,76.17598813,15.32568065,83.78816937,2830,Disk Failure
Dell MacBook 5946,22.77411854,90.24861509,94.71186155,12.9967906,92.699733,3011,No Problem
Dell Satellite 9260,93.61384085,13.50577735,45.57528076,14.6312435,47.98445813,2570,Memory Leak
Dell Galaxy 6222,83.36036059,9.684933905,89.52887837,13.72004049,21.87166085,2058,Memory Leak
Dell Inspiron 2777,18.52686376,38.2321664,64.91662031,17.72254254,60.52906201,4829,No Problem
Dell Pavilion 4343,26.07198113,36.36695645,93.43925572,12.32687489,78.85424387,3841,Memory Leak
Dell Galaxy 8125,91.39794247,96.1018911,51.71013823,17.80134994,48.54393852,3437,Memory Leak
Dell Inspiron 1863,62.2580845,96.67592661,49.95784923,18.56384079,19.67717869,1843,Overheating
Dell Surface 9875,99.22025175,90.29474355,24.1757196,19.10531248,49.24555085,4456,Disk Failure
Dell Surface 7776,9.836829117,34.02727776,36.00509178,10.23880381,90.3809959,4147,Memory Leak
Dell ZenBook 6847,45.84489668,60.51020717,28.27336369,19.55543455,21.30517952,2249,Disk Failure
Dell MacBook 1949,78.61828985,24.25869145,33.88123359,11.69653022,88.65386007,4891,Memory Leak
Dell Surface 1061,86.85975269,22.72562331,69.83975087,13.98468608,33.23430721,1458,No Problem
Dell Surface 4786,71.67629833,49.67215649,75.85522275,11.45921783,34.75080994,1055,No Problem
Dell Galaxy 9759,36.14429314,80.33668809,61.48918023,19.29809733,61.03928107,3252,No Problem
Dell Pavilion 8249,74.78493934,16.88576667,73.47123643,19.67172921,5.890530435,4715,Memory Leak
Dell Inspiron 4252,81.08291449,76.52388488,96.95511045,19.65886278,24.53392088,4103,Disk Failure
Dell Satellite 2191,37.61317326,32.73666953,90.53310651,16.6658769,44.8659858,1327,Overheating
Dell Satellite 8793,24.31160265,43.88798689,95.647605,12.32047811,17.01251426,2898,Memory Leak
Dell Vaio 3643,84.10768281,80.00573311,58.23170487,10.64264115,62.41233757,3253,Disk Failure
Dell Aspire 7783,30.04703412,30.20308688,26.99205561,17.36123188,61.77448464,4114,Disk Failure
Dell MacBook 5537,30.46775389,8.670575633,23.13851039,17.34336166,66.17307213,1208,No Problem
Dell Inspiron 5663,87.14238088,7.157049523,49.41510343,17.65339214,95.4177685,2078,Memory Leak
Dell Aspire 6142,35.19810895,59.71811717,88.69605913,11.0273512,49.52938535,1911,Memory Leak
Dell ZenBook 6588,63.10215737,71.74718497,35.43690985,14.8169686,27.09364258,1766,No Problem
Dell Pavilion 6429,27.28598474,18.18848154,89.3040749,15.16226329,67.75242512,2089,Power Issue
Dell Satellite 3751,8.392235903,24.59367084,28.16650267,17.48539548,36.35440341,3167,No Problem
Dell Galaxy 2388,66.49447721,67.19245032,43.73185774,12.70474626,29.8235205,3334,No Problem
Dell MacBook 8131,76.49097825,72.45348592,32.36211695,19.8754647,38.1512768,1841,Overheating
Dell Vaio 9522,49.43629105,27.32522421,60.34638785,19.12515555,55.12256662,1119,Memory Leak
Dell ZenBook 3573,49.34286457,91.39233852,97.67487711,14.34229585,91.81189258,2414,No Problem
Dell MacBook 8610,36.09650436,46.19203774,99.54687154,12.44960324,8.591233542,2356,Power Issue
Dell Surface 6749,54.33516487,27.54140306,32.88451834,18.85847649,3.185506491,3511,Disk Failure
Dell Satellite 5155,14.1757261,86.5759974,27.81374765,19.900086,88.14194103,1046,Memory Leak
Dell Aspire 3540,73.68570165,24.96660462,97.45238164,11.97016118,21.60108792,3974,Power Issue
Dell Galaxy 1925,81.81856079,65.37643254,74.15581576,17.52628016,85.46589267,3084,No Problem
Dell MacBook 1712,69.65376207,62.37467192,92.54308634,19.02872143,33.61095127,3241,Disk Failure
Dell Galaxy 6752,89.89356883,21.01796389,61.6174303,18.53292852,2.576520436,2823,Overheating
Dell Inspiron 2713,11.98450083,39.80137382,54.15074137,10.79940233,9.566899856,4278,Overheating
Dell Galaxy 4592,2.178073044,58.91298052,47.23690058,19.84045579,60.97997385,1944,No Problem
Dell Surface 6517,87.34719206,26.72152164,87.13480113,16.35583376,69.81533895,2661,Overheating
Dell MacBook 3520,30.8451644,20.60133813,24.74921412,10.67222155,36.56137999,3696,Power Issue
Dell Galaxy 5564,8.825315472,66.70318692,35.4355359,13.89926245,73.56216725,2609,Disk Failure
Dell Satellite 1457,19.9991801,65.01339788,39.82923463,19.57995475,4.917986012,1238,Power Issue
Dell Pavilion 5024,10.87372546,53.5737216,20.46070677,17.14728462,67.35868912,3649,Overheating
Dell Surface 9408,67.73598624,74.27781862,95.50399075,11.75851652,51.84668311,3597,Overheating
Dell ZenBook 4427,19.81896297,29.20285684,72.87359362,16.15441956,88.66951411,2577,Memory Leak
Dell Surface 4476,62.43328869,3.151750979,33.43490988,10.83161088,14.93588215,2980,Disk Failure
Dell ThinkPad 6266,76.93312141,50.01823343,54.43424467,12.37608796,90.17599048,1388,Power Issue
Dell Surface 2123,65.94140849,85.77162379,40.38489514,15.56266852,25.89080982,4634,No Problem
Dell Pavilion 6962,57.66103561,26.97469134,74.19999098,11.82738128,34.18912084,2459,Power Issue
Dell Galaxy 3207,43.66895935,46.3777989,88.06230106,11.36795561,87.21244257,3887,No Problem
Dell Aspire 7955,27.90738805,38.65546274,91.17666087,12.58738463,91.34315204,2086,No Problem
Dell Vaio 7397,21.71384442,90.96144995,65.24873318,16.66513181,24.57998627,1673,Overheating
Dell Pavilion 3623,25.91171425,78.79712319,75.73535551,17.82527261,36.29018182,1138,Disk Failure
Dell Vaio 6449,99.85475966,83.95838085,75.71559547,18.55786115,12.22650098,2221,Memory Leak
Dell Aspire 4290,15.84873995,19.14361825,41.69629999,15.920095,94.70635351,1027,Disk Failure
Dell Vaio 6367,22.11300323,82.37302824,61.24608256,15.88025631,24.5610862,1998,Memory Leak
Dell ZenBook 3243,75.2006037,8.55415453,71.74529346,16.09368305,61.6791287,2271,No Problem
Dell Pavilion 3292,83.82238,59.42722621,20.53290852,17.96468468,53.76950519,2440,Overheating
Dell MacBook 1842,70.77260455,9.033971673,87.11689859,15.56827594,28.00582371,4672,Overheating
Dell MacBook 4558,71.42392828,40.77880667,80.11833765,16.50212766,86.57057933,3330,Power Issue
Dell Galaxy 4976,36.23802183,2.298332196,29.17632006,19.94402801,14.24998913,1408,Power Issue
Dell Galaxy 8530,2.452585295,82.71612061,77.34207234,10.91989378,25.24132062,4327,No Problem
Dell Pavilion 6700,50.87938239,14.62071712,26.1044751,18.40939249,10.0050956,3313,No Problem
Dell Pavilion 2286,37.14323938,95.42451622,65.63014744,18.64519018,87.2843096,2599,Memory Leak
Dell Inspiron 8663,52.63782351,87.13200654,63.48827753,18.92951007,55.64688813,3534,Overheating
Dell MacBook 3879,10.05653512,8.962580852,26.59620027,13.06493264,45.381532,3923,Memory Leak
Dell Inspiron 7295,30.53339649,7.99829779,79.86583261,16.32571579,98.76774308,2575,Disk Failure
Dell Galaxy 3681,18.35984601,30.58160676,34.01404522,16.1079471,67.71950493,2645,Disk Failure
Dell MacBook 3052,2.308553241,61.28885994,54.19430366,16.61073923,22.6641472,3379,Disk Failure
Dell ThinkPad 8017,63.46192985,73.35650944,88.75855029,15.51284888,11.6099198,1267,Disk Failure
Dell ZenBook 7993,11.40748064,27.30218942,41.35645274,17.48555421,36.05605947,3435,Memory Leak
Dell MacBook 1368,3.601185186,68.36137573,29.75954843,12.57745762,0.356157064,3480,No Problem
Dell Aspire 9199,56.84843637,38.537213,87.36173889,12.85017603,19.67637489,4263,No Problem
Dell Pavilion 3011,73.68595832,43.76614011,37.01553402,15.37515145,2.237429903,3533,Memory Leak
Dell Inspiron 4897,16.92008845,92.44643387,72.50178564,15.85149009,48.04759074,3690,Overheating
Dell Aspire 5986,11.48000104,79.72074832,79.74562204,18.14840399,20.3658334,2347,No Problem
Dell Surface 4428,3.548608248,41.62778753,61.44023441,14.6462686,88.95523365,2826,Power Issue
Dell ThinkPad 6682,49.07593868,10.64538504,94.3422099,18.91002886,33.51853121,2743,Power Issue
Dell Pavilion 7185,2.833288631,55.87271235,42.23759129,18.05194362,63.8268426,1186,Memory Leak
Dell Galaxy 7733,83.56413255,37.90144514,91.62301395,13.83003097,19.70319059,4573,Overheating
Dell Aspire 9114,94.17527615,93.25321613,99.24733356,16.06005354,75.77255321,3230,Memory Leak
Dell Vaio 4607,17.27007544,36.60083147,49.68712302,15.31536251,11.52615631,2075,Power Issue
Dell Vaio 1126,78.45849504,9.591084932,31.12187259,11.7860726,86.30657062,2066,No Problem
Dell Galaxy 8802,64.69696936,67.83868893,31.39663478,11.07938777,78.77974643,2297,Disk Failure
Dell ThinkPad 4597,0.83830966,42.14222915,39.16414145,16.30794665,8.644473011,2484,Overheating
Dell Galaxy 2334,8.562977189,6.726481313,87.06836937,13.18620787,81.9179344,2318,Disk Failure
Dell Surface 9466,74.12995771,20.8807994,66.02196024,19.20425903,27.26813073,3039,No Problem
Dell Aspire 9121,15.76439412,38.72569754,82.9720407,11.05303465,37.50008373,2027,No Problem
Dell Aspire 6707,69.41506887,11.1185704,52.4089273,19.95233345,33.52768071,3532,Disk Failure
Dell Vaio 9185,66.23900611,75.73586027,80.93940263,18.00813399,1.413287214,1748,Power Issue
Dell ZenBook 1760,74.87455928,2.187422397,52.13474791,13.33966496,89.94332134,2033,Overheating
Dell Surface 9783,6.142829249,52.96282972,26.89201676,12.98812898,2.881321175,1746,Memory Leak
Dell Galaxy 7197,59.91828761,77.56882721,72.5215123,12.76589044,78.11571992,2361,Disk Failure
Dell Inspiron 1676,89.01561357,28.88589827,62.71634283,10.34428293,93.14147918,2150,No Problem
Dell Vaio 4060,21.62982279,40.72224355,26.2875629,14.56782184,81.66263203,4742,Memory Leak
Dell Pavilion 6893,7.628661824,43.78326199,49.919958,12.84628157,52.91834569,4640,Overheating
Dell Surface 4346,19.28803182,42.80556235,30.80166781,13.10190052,67.22996171,3687,Disk Failure
Dell Aspire 8602,29.11378615,31.243936,31.46942754,10.30078621,29.83621021,2912,Disk Failure
Dell Aspire 5836,47.90698364,46.58248936,82.93589695,16.11377031,61.70727564,4208,Power Issue
Dell ZenBook 6107,60.46382248,26.32071125,74.73372744,11.51590054,89.57201977,1901,Overheating
Dell ThinkPad 4092,90.76964172,67.29230008,32.06330928,13.1604143,86.49968304,4949,Disk Failure
Dell Vaio 2613,33.63502536,57.19897656,66.89635431,10.63771382,24.22158261,3362,Memory Leak
Dell Inspiron 4409,62.60076531,70.58367071,62.8765084,19.31086472,97.93724108,1465,No Problem
Dell Galaxy 5094,56.58839206,10.54966321,59.76974838,17.83916196,80.52845159,2071,Disk Failure
Dell Galaxy 1365,40.85525001,60.58055886,65.59044924,19.33514822,54.15259817,3857,Power Issue
Dell ZenBook 1407,92.89838436,42.91645838,78.93454083,17.49176231,1.289826737,4745,No Problem
Dell Inspiron 6153,74.8562677,0.002407139,67.467048,13.79652037,70.6202936,3706,Power Issue
Dell Surface 5357,95.39699887,86.01320427,61.59174913,17.38059729,5.075317578,4392,Overheating
Dell Inspiron 7534,12.10755363,50.59094853,52.65754888,15.64590319,37.36523011,3427,Power Issue
Dell MacBook 4990,1.557401091,90.50169311,65.26942969,14.14395834,44.58460397,3517,Power Issue
Dell Inspiron 8367,34.06010255,73.52451382,39.58781271,12.79095919,3.769223279,3552,Power Issue
Dell Satellite 7846,19.22285283,62.12821887,52.66108705,13.61289418,19.55275381,1545,Overheating
Dell Aspire 2724,62.8520238,46.13812033,46.56547263,17.17113167,32.36480429,4746,Overheating
Dell ThinkPad 9097,53.80243645,96.7955537,37.13439424,16.98476002,17.97419176,2227,Disk Failure
Dell ZenBook 4675,63.88618239,61.5271887,42.11103377,16.06549888,57.31259825,3602,No Problem
Dell Surface 7990,17.65179601,52.26676394,30.06738882,11.59162062,66.84952963,3884,Disk Failure
Dell ZenBook 9893,97.64297881,72.0632871,81.37421048,18.96587064,68.24305945,2925,Overheating
Dell Aspire 8122,61.53522841,79.67252139,72.94204405,13.30390183,70.58490679,4489,No Problem
Dell MacBook 3242,64.12644337,67.75180252,60.33100135,12.86967516,75.68925815,1877,Power Issue
Dell Satellite 6177,14.04207326,7.895487192,81.01259428,18.03569644,88.57768822,1932,Memory Leak
Dell MacBook 3829,64.32348511,45.10447476,25.98788338,17.7253294,87.66341498,2021,Power Issue
Dell Pavilion 7595,60.16987485,46.86806519,91.84392467,12.15107106,78.33563561,1021,No Problem
Dell Galaxy 8516,77.41986387,92.50553268,77.41148768,15.81164846,99.16053217,3668,No Problem
Dell Surface 1644,48.646084,66.70271186,73.09193918,10.70398442,58.31719058,3061,Memory Leak
Dell ThinkPad 7134,82.94767951,39.13404367,58.44486557,10.867434,49.8387518,3697,No Problem
Dell Pavilion 1638,40.30785102,45.24547363,59.95820065,15.56619766,88.2502925,3373,Power Issue
Dell ThinkPad 3394,50.98135203,61.35114005,56.84997933,12.44142881,26.28406304,1655,Power Issue
